code,transcription
a488,Andra specificerade bakteriesjukdomar
a488a,Trichomycosis axillaris
a488b,Rinosklerom
a488w,Andra specificerade bakteriesjukdomar
a49,Bakterieinfektion med icke specificerad lokalisation
a490,"Stafylokockinfektion, ospecificerad lokalisation"
a491,"Streptokockinfektion, ospecificerad lokalisation"
a491a,Pneumokockinfektion UNS
a491w,Streptokocker UNS
a492,"Haemophilus influenzae-infektion, ospecificerad lokalisation"
a493,"Mykoplasmainfektion, ospecificerad lokalisation"
a498,"Infektion med andra bakterier, ospecificerad lokalisation"
a498a,E coli-infektion UNS
a498w,"Infektion orsakad av annan specificerad bakterie, ospecificerad lokalisation"
a499,"Bakterieinfektion, ospecificerad"
a50,Medfödd syfilis
a500,Tidig medfödd syfilis med symtom
a501,Tidig medfödd latent syfilis
a502,Icke specificerad tidig medfödd syfilis
a503,Sen medfödd syfilitisk okulopati
a504,Sen medfödd neurosyfilis
a505,Annan sen medfödd syfilis med symtom
a506,Sen medfödd latent syfilis
a507,Icke specificerad sen medfödd syfilis
a509,"Medfödd syfilis, ospecificerad"
a51,Tidig syfilis
a510,Primär genital syfilis
a511,Primär anal syfilis
a512,Primär syfilis med andra lokalisationer
a513,Sekundär syfilis i hud och slemhinnor
a513a,Condyloma latum
a513b,Syfilitisk (sekundär) alopeci
a513c,Syfilitisk leukoderma
a513x,"Sekundär syfilis i hud och slemhinnor, ospecificerad"
a514,Annan sekundär syfilis
a515,Tidig latent syfilis
a519,"Tidig syfilis, ospecificerad"
a52,Sen syfilis
a520,Kardiovaskulär syfilis
a521,Symtomatisk neurosyfilis
a522,Asymtomatisk neurosyfilis
a523,"Neurosyfilis, ospecificerad"
a527,Annan symtomatisk sen syfilis
a528,Sen latent syfilis
a529,"Sen syfilis, ospecificerad"
a53,Annan och icke specificerad syfilis
a530,"Latent syfilis, ej specificerad som tidig eller sen"
a539,Syfilis ospecificerad
a54,Gonokockinfektion
a540,Gonokockinfektion i könsorganen och de nedre urinvägarna utan abscess i periuretrala eller accessoriska körtlar
a540a,Gonokockcervicit UNS
a540c,Gonokockuretrit UNS
a540d,Gonokockvulvovaginit UNS
a540e,Gonokockbalanit (akut) (kronisk)
a540f,Gonokockorsakad lymfangit i penis
a540x,"Gonokockinfektion i könsorgan och nedre urinvägar utan abscess, ospecificerad"
a541,Gonokockinfektion i könsorganen och de nedre urinvägarna med abscess i periuretrala och accessoriska körtlar
a542,Gonokockpelviperitonit och andra gonokockinfektioner i urin- och könsorganen
a543,Gonokockinfektion i ögat
a544,Gonokockinfektion i muskuloskeletala systemet
a545,Gonokockfaryngit
a546,Gonokockinfektion i anus och rektum
a548,Andra gonokockinfektioner
a549,"Gonokockinfektion, ospecificerad"
a55,Lymfogranulom (veneriskt) orsakat av klamydia
a559,Lymfogranulom orsakat av klamydia
a56,Andra sexuellt överförda klamydiasjukdomar
a560,Klamydiainfektion i nedre delen av urin- och könsorganen
a560a,Klamydiacervicit
a560c,Klamydiauretrit
a560d,Klamydiavulvovaginit
a560x,"Klamydiainfektion i nedre delen av urin- och könsorganen, ospecificerad"
a561,Klamydiainfektion i pelviperitoneum och andra urin- och könsorgan
a562,"Klamydiainfektion i urin- och könsorganen, ospecificerad"
a563,Klamydiainfektion i anus och rektum
a564,Klamydiainfektion i svalget
a568,Sexuellt överförd klamydiainfektion med andra specificerade lokalisationer
a57,Chankroid (mjuk schanker)
a579,Chankroid
a58,Granuloma inguinale
a589,Granuloma inguinale
a59,Trikomonasinfektion
a590,Urogenital trikomonasinfektion
a598,Trikomonasinfektion med andra lokalisationer
a599,"Trikomonasinfektion, ospecificerad"
a60,Anogenital infektion med herpes simplex-virus
a600,Urogenital infektion med herpes simplex-virus
a601,Infektion med herpes simplex-virus i den perianala huden och rektum
a609,Anogenital infektion med herpes simplex-virus
a63,Andra huvudsakligen sexuellt överförda sjukdomar som ej klassificeras annorstädes
a630,Condyloma acuminatum
a630a,Spetsiga kondylom
a630b,Platta kondylom
a630x,"Kondylom, ospecificerade"
a638,Andra specificerade huvudsakligen sexuellt överförda sjukdomar
a64,Icke specificerad sexuellt överförd sjukdom
a649,Icke specificerad sexuellt överförd sjukdom
a65,Icke venerisk syfilis
a659,Icke venerisk syfilis
a66,Yaws
a660,Primärlesioner vid yaws
a661,Multipla papillom och wet crab yaws
a662,Andra tidiga hudlesioner vid yaws
a663,Hyperkeratos vid yaws
a664,Gumma och sår vid yaws
a665,Gangosa
a666,Ben- och ledlesioner vid yaws
a667,Andra manifestationer vid yaws
a668,Latent yaws
a669,"Yaws, ospecificerad"
a67,Pinta
a670,Primära lesioner vid pinta
a671,Intermediära lesioner vid pinta
a672,Sena lesioner vid pinta
a673,Blandade lesioner vid pinta
a679,"Pinta, ospecificerad"
a68,Återfallsfeber
a680,Återfallsfeber överförd av löss
a681,Återfallsfeber överförd av fästingar
a689,"Återfallsfeber, ospecificerad"
a69,Andra spiroketinfektioner
a690,Nekrotiserande ulcerös stomatit
a691,Andra Vincent-infektioner
a692,Infektion orsakad av Borrelia burgdorferi
a698,Andra specificerade spiroketinfektioner
a699,"Spiroketinfektion, ospecificerad"
a70,Infektion orsakad av Chlamydia psittaci (papegojsjuka)
a709,Infektion orsakad av Chlamydia psittaci
a71,Trakom
a710,Trakom i tidigt stadium
a711,Trakom i aktivt skede
a719,"Trakom, ospecificerad"
a74,Andra sjukdomar orsakade av klamydier
a740,Klamydiakonjunktivit
a748,Andra specificerade klamydiainfektioner
a749,"Klamydiainfektion, ospecificerad"
a75,"Fläcktyfus överförd av löss, loppor och kvalster"
a750,Epidemisk fläcktyfus orsakad av Rickettsia prowazekii
a751,Fläcktyfus med återuppblossande
a752,Fläcktyfus orsakad av Rickettsia typhi
a753,Fläcktyfus orsakad av Rickettsia tsutsugamushi
a759,"Fläcktyfus, ospecificerad"
a77,Rickettsiasjukdom överförd av fästingar
a770,Fläckfeber orsakad av Rickettsia rickettsii
a771,Fläckfeber orsakad av Rickettsia conorii
a772,Fläckfeber orsakad av Rickettsia sibirica
a773,Fläckfeber orsakad av Rickettsia australis
a778,Annan specificerad fläckfeber
a779,"Fläckfeber, ospecificerad"
a78,Q-feber
a789,Q-feber
a79,Andra rickettsiasjukdomar
a790,Skyttegravsfeber
a791,Rickettsia-koppor orsakade av Rickettsia akari
a798,Andra specificerade rickettsiasjukdomar
a799,"Rickettsiasjukdom, ospecificerad"
a80,Akut polio (barnförlamning)
a800,Akut polio med förlamningar orsakad av poliovaccinvirus
a801,Akut polio med förlamningar orsakad av vilt importerat virus
a802,Akut polio med förlamningar orsakad av vilt inhemskt virus
a803,"Akut polio med förlamningar, annan och ospecificerad"
a804,Akut polio utan förlamningar
a809,"Akut polio, ospecificerad"
a81,Atypisk virusinfektion i centrala nervsystemet
a810,Creutzfeldt-Jakobs sjukdom
a811,Subakut skleroserande panencefalit
a812,Progressiv multifokal leukoencefalopati
a818,Andra atypiska virusinfektioner i centrala nervsystemet
a819,"Atypisk virusinfektion i centrala nervsystemet, ospecificerad"
a82,Rabies (vattuskräck)
a820,"Rabies, sylvatisk form"
a821,"Rabies, urban form"
a829,"Rabies, ospecificerad"
a83,Virusencefalit överförd av myggor
a830,Japansk encefalit
a831,Western equine encephalitis
a832,Eastern equine encephalitis
a833,St Louis encephalitis
a834,Australian encephalitis
a835,California encephalitis
a836,Rocio-virusencefalit
a838,Annan specificerad virusencefalit överförd av myggor
a839,"Virusencefalit överförd av myggor, ospecificerad"
a84,Virusencefalit överförd av fästingar
a840,Fjärranösternencefalit överförd av fästingar
a841,Centraleuropeisk encefalit överförd av fästingar
a848,Annan specificerad virusencefalit överförd av fästingar
a849,"Virusencefalit överförd av fästingar, ospecificerad"
a85,Andra virusencefaliter som ej klassificeras annorstädes
a850,Enteroviral encefalit
a851,Adenoviral encefalit
a852,"Virusencefalit överförd av leddjur, ospecificerad"
a858,Andra specificerade virusencefaliter
a86,Icke specificerad virusencefalit
a869,Icke specificerad virusencefalit
a87,Virusmeningit
a870,Meningit orsakad av enterovirus
a870a,Meningit av Coxsackievirus
a870b,Meningit av Echovirus
a870w,Meningit orsakad av annat specificerat enterovirus
a871,Meningit orsakad av adenovirus
a872,Lymfocytär koriomeningit
a878,Andra specificerade virusmeningiter
a879,"Virusmeningit, ospecificerad"
a88,Andra virusinfektioner i centrala nervsystemet som ej klassificeras annorstädes
a880,Enteroviral exanthematous fever
a881,Epidemisk vertigo
a888,Andra specificerade virusinfektioner i centrala nervsystemet
a89,Icke specificerad virusinfektion i centrala nervsystemet
a899,Icke specificerad virusinfektion i centrala nervsystemet
a90,Denguefeber (klassisk dengue)
a909,Denguefeber
a91,Hemorragisk denguefeber
a919,Hemorragisk denguefeber
a92,Andra febersjukdomar orsakade av virus överförda av myggor
a920,Chikungunya-virussjukdom
a921,O'nyong-nyong-feber
a922,Venezuelan equine encephalitis
a923,West Nile virus-infektion
a924,Rift Valley fever
a928,Andra specificerade febersjukdomar orsakade av virus överförda av myggor
a929,"Febersjukdom orsakad av virus överförd av myggor, ospecificerad"
a93,"Andra febersjukdomar orsakade av virus överförda av leddjur, som ej klassificeras annorstädes"
a930,Oropouche-virussjukdom
a931,Sandmyggefeber
a932,Colorado-fästingfeber
a938,Andra specificerade virusfebersjukdomar överförda av leddjur
a94,Icke specificerad febersjukdom orsakad av virus överfört av leddjur
a949,Icke specificerad febersjukdom orsakad av virus överfört av leddjur
a95,Gula febern
a950,"Gula febern, sylvatisk form"
a951,"Gula febern, urban form"
a959,"Gula febern, ospecificerad"
a96,Arenaviral hemorragisk feber
a960,Hemorragisk junin-virusfeber
a961,Machupo hemorragisk feber
a962,Lassa-feber
a968,Andra specificerade arenavirala hemorragiska febrar
a969,"Arenaviral hemorragisk feber, ospecificerad"
a98,Andra hemorragiska febersjukdomar orsakade av virus som ej klassificeras annorstädes
a980,Centralasiatisk hemorragisk feber
a981,Omskfeber
a982,Kyasanur Forest disease
a983,Marburgfeber
a984,Ebolafeber
a985,Hemorragisk feber med njurpåverkan
a988,Andra specificerade virala hemorragiska febersjukdomar
a99,Icke specificerad hemorragisk febersjukdom orsakad av virus
a999,Icke specificerad hemorragisk febersjukdom orsakad av virus
b00,Herpes simplex-infektioner
b000,Eczema herpeticum
b001,Vesikulär dermatit orsakad av herpes simplex-virus
b001a,Herpes labialis
b001b,Herpes facialis
b001x,"Vesikulär dermatit orsakad av herpes simplex-virus, ospecificerad"
b002,Gingivostomatit och faryngotonsillit orsakade av herpes simplex-virus
b003,Meningit orsakad av herpes simplex-virus
b004,Encefalit orsakad av herpes simplex-virus
b005,Ögonsjukdom orsakad av herpes simplex-virus
b007,Disseminerad herpes simplex-infektion
b008,Andra specificerade former av infektion med herpes simplex-virus
b009,"Herpes simplex-infektion, ospecificerad"
b01,Vattkoppor
b010,Vattkoppor med meningit
b011,Vattkoppsencefalit
b012,Vattkoppor med pneumoni
b018,Vattkoppor med andra specificerade komplikationer
b019,Vattkoppor utan komplikation
b02,Bältros
b020,Bältros med encefalit
b021,Bältros med meningit
b022,Bältros med andra komplikationer från nervsystemet
b023,Bältros med ögonkomplikationer
b027,Generaliserad bältros
b028,Bältros med andra specificerade komplikationer
b029,Bältros utan komplikation
b03,Smittkoppor
b039,Smittkoppor
b04,Apkoppor
b049,Apkoppor
b05,Mässling
b050,Mässlingsencefalit
b051,Mässlingsmeningit
b052,Pneumoni som komplikation till mässling
b053,Otit som komplikation till mässling
b054,Mässling med tarmkomplikationer
b058,Mässling med andra specificerade komplikationer
b059,Mässling utan komplikation
b06,Röda hund
b060,Röda hund med neurologiska komplikationer
b068,Röda hund med andra specificerade komplikationer
b069,Röda hund utan komplikation
b07,Virusvårtor
b079,Virusvårtor
b079a,Verruca vulgaris
b079b,Verruca filiformis
b079c,Verruca plana
b079d,Verruca plantaris
b079w,Andra virusvårtor
b079x,"Virusvårtor, ospecificerade"
b08,Andra virussjukdomar med hud- och slemhinneutslag som ej klassificeras annorstädes
b080,Andra infektioner orsakade av ortopoxvirus
b080a,Ecthyma contagiosum
b080b,Falska kokoppor
b080c,Kokoppor
b080w,Annan och icke specificerad infektion orsakad av ortopoxvirus
b081,Mollusker
b082,Tredagarsfeber
b083,Erythema infectiosum
b084,"Hand, foot and mouth disease"
b085,Herpangina
b088,Andra specificerade virusinfektioner med hud- och slemhinneutslag
b09,Icke specificerad virusinfektion med hud- och slemhinneutslag
b099,Icke specificerad virusinfektion med hud- och slemhinneutslag
b15,Akut hepatit A
b150,Hepatit A med leverkoma
b159,Hepatit A utan leverkoma
b16,Akut hepatit B
b160,Akut hepatit B med hepatit D med leverkoma
b161,Akut hepatit B med hepatit D utan leverkoma
b162,Akut hepatit B utan hepatit D med leverkoma
b169,"Akut hepatit B utan hepatit D, utan leverkoma"
b17,Annan akut virushepatit
b170,Akut hepatit D hos hepatit B-bärare
b171,Akut hepatit C
b172,Akut hepatit E
b178,Annan specificerad akut virushepatit
b179,"Akut virushepatit, ospecificerad"
b18,Kronisk virushepatit
b180,Kronisk hepatit B med hepatit D
b180a,"Kronisk hepatit B med hepatit D (coinfection), normal lever"
b180b,"Kronisk hepatit B med hepatit D (coinfection), ospecifik reaktiv hepatit"
b180c,"Kronisk hepatit B med hepatit D (coinfection), kronisk persisterande hepatit (KPH)"
b180d,"Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit (KAH)"
b180e,"Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit med cirros"
b180f,"Kronisk hepatit B med hepatit D (coinfection), fibros"
b180g,"Kronisk hepatit B med hepatit D (coinfection), cirros"
b180h,"Kronisk hepatit B med hepatit D (coinfection), steatos"
b180w,"Kronisk hepatit B med hepatit D (coinfection), annat histologiskt fynd"
b180x,"Kronisk hepatit B med hepatit D (coinfection), ej biopserad"
b181,Kronisk hepatit B utan hepatit D
b181a,"Kronisk hepatit B utan hepatit D, normal lever"
b181b,"Kronisk hepatit B utan hepatit D, ospecifik reaktiv hepatit"
b181c,"Kronisk hepatit B utan hepatit D, kronisk persisterande hepatit (KPH)"
b181d,"Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit (KAH)"
b181e,"Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit med cirros"
b181f,"Kronisk hepatit B utan hepatit D, fibros"
b181g,"Kronisk hepatit B utan hepatit D, cirros"
b181h,"Kronisk hepatit B utan hepatit D, steatos"
b181w,"Kronisk hepatit B utan hepatit D, annat histologiskt fynd"
b181x,"Kronisk hepatit B utan hepatit D, ej biopserad"
b182,Kronisk hepatit C
b182a,"Kronisk hepatit C, normal lever"
b182b,"Kronisk hepatit C, ospecifik reaktiv hepatit"
b182c,"Kronisk hepatit C, kroniskt persisterande hepatit (KPH)"
b182d,"Kronisk hepatit C, kroniskt aktiv hepatit (KAH)"
b182e,"Kronisk hepatit C, kronisk aktiv hepatit med cirros"
b182f,"Kronisk hepatit C, fibros"
b182g,"Kronisk hepatit C, cirros"
b182h,"Kronisk hepatit C, steatos"
b182w,"Kronisk hepatit C, annat histologiskt fynd"
b182x,"Kronisk hepatit C, ej biopserad"
b188,Annan specificerad kronisk virushepatit
b188a,"Annan specificerad kronisk virushepatit, normal lever"
b188b,"Annan specificerad kronisk virushepatit, ospecifik reaktiv hepatit"
b188c,"Annan specificerad kronisk virushepatit, kronisk persisterande hepatit (KPH)"
b188d,"Annan specificerad kronisk virushepatit, kronisk aktiv hepatit (KAH)"
b188e,"Annan specificerad kronisk virushepatit, kronisk aktiv hepatit med cirros"
b188f,"Annan specificerad kronisk virushepatit, fibros"
b188g,"Annan specificerad kronisk virushepatit, cirros"
b188h,"Annan specificerad kronisk virushepatit, steatos"
b188w,"Annan specificerad kronisk virushepatit, annat"
b188x,"Annan specificerad kronisk virushepatit, ej biopserad"
b189,"Kronisk virushepatit, ospecificerad"
b189a,"Kronisk virushepatit, ospecificerad, normal lever"
b189b,"Kronisk virushepatit, ospecificerad, ospecifik reaktiv hepatit"
b189c,"Kronisk virushepatit, ospecificerad, kronisk persisterande hepatit (KPH)"
b189d,"Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit (KAH)"
b189e,"Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit med cirros"
b189f,"Kronisk virushepatit, ospecificerad, fibros"
b189g,"Kronisk virushepatit, ospecificerad, cirros"
b189h,"Kronisk virushepatit, ospecificerad, steatos"
b189w,"Kronisk virushepatit, ospecificerad, annat histologiskt fynd"
b189x,"Kronisk virushepatit, ospecificerad, ej biopserad"
b19,Icke specificerad virushepatit
b190,Icke specificerad virushepatit med leverkoma
b199,Icke specificerad virushepatit utan leverkoma
b20,Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med infektions- och parasitsjukdom
b200,HIV-infektion med mykobakterieinfektion
b201,HIV-infektion med andra bakterieinfektioner
b202,HIV-infektion med cytomegalvirusinfektion
b203,HIV-infektion med andra virusinfektioner
b204,HIV-infektion med candidainfektion
b205,HIV-infektion med andra mykoser
b206,HIV-infektion med Pneumocystis jirovecii (carinii)-pneumoni
